zip,precinct,ward
60639,1,31
60618,2,31
60639,3,31
60641,3,31
60618,4,31
60639,4,31
60641,4,31
60647,4,31
60639,5,31
60641,6,31
60641,7,31
60639,8,31
60641,8,31
60639,9,31
60641,9,31
60641,10,31
60641,11,31
60641,12,31
60641,13,31
60639,14,31
60634,15,31
60639,15,31
60641,15,31
60639,16,31
60639,17,31
60641,17,31
60639,18,31
60639,19,31
60641,19,31
60639,20,31
60639,21,31
60639,22,31
60639,23,31
60618,1,32
60657,1,32
60618,2,32
60618,3,32
60657,3,32
60657,4,32
60657,5,32
60657,6,32
60614,7,32
60657,7,32
60657,8,32
60618,9,32
60657,9,32
60618,10,32
60614,11,32
60618,11,32
60657,11,32
60614,12,32
60657,12,32
60614,13,32
60657,13,32
60657,14,32
60614,15,32
60614,16,32
60614,17,32
60614,18,32
60618,18,32
60647,18,32
60618,19,32
60647,19,32
60614,20,32
60647,21,32
60647,22,32
60614,23,32
60622,23,32
60647,23,32
60622,24,32
60647,24,32
60622,25,32
60642,25,32
60622,26,32
60647,26,32
60647,27,32
60647,28,32
60647,29,32
60647,30,32
60618,1,33
60618,2,33
60618,3,33
60618,4,33
60618,5,33
60618,6,33
60618,7,33
60618,8,33
60618,9,33
60625,9,33
60630,9,33
60618,10,33
60625,10,33
60625,11,33
60618,12,33
60625,12,33
60625,13,33
60618,14,33
60625,14,33
60625,15,33
60618,16,33
60625,16,33
60618,17,33
60625,17,33
60607,1,34
60612,1,34
60607,2,34
60607,3,34
60661,3,34
60607,4,34
60607,5,34
60661,5,34
60607,6,34
60607,7,34
60607,8,34
60607,9,34
60607,10,34
60661,10,34
60606,11,34
60661,11,34
60661,12,34
60606,13,34
60661,13,34
60606,14,34
60654,14,34
60661,14,34
60602,15,34
60603,15,34
60604,15,34
60605,15,34
60606,15,34
60607,15,34
60605,16,34
60607,16,34
60605,17,34
60607,17,34
60605,18,34
60601,19,34
60602,19,34
60603,19,34
60604,19,34
60605,19,34
60601,20,34
60602,20,34
60603,20,34
60639,1,35
60639,2,35
60647,2,35
60639,3,35
60647,3,35
60647,4,35
60647,5,35
60647,6,35
60639,7,35
60647,7,35
60647,8,35
60647,9,35
60647,10,35
60618,11,35
60647,11,35
60647,12,35
60618,13,35
60647,13,35
60618,14,35
60647,14,35
60618,15,35
60647,15,35
60618,16,35
60618,17,35
60647,17,35
60618,18,35
60618,19,35
60618,20,35
60618,21,35
60618,22,35
60634,1,36
60634,2,36
60634,3,36
60707,3,36
60634,4,36
60707,4,36
60634,5,36
60707,5,36
60707,6,36
60639,7,36
60707,8,36
60639,9,36
60707,9,36
60639,10,36
60639,11,36
60639,12,36
60639,13,36
60639,14,36
60651,14,36
60651,15,36
60651,16,36
60622,17,36
60651,17,36
60622,18,36
60622,19,36
60622,20,36
60612,21,36
60622,21,36
60622,22,36
60612,23,36
60622,23,36
60622,24,36
60612,25,36
60622,25,36
60622,26,36
60622,27,36
60644,1,37
60651,2,37
60644,3,37
60651,3,37
60651,4,37
60644,5,37
60651,5,37
60651,6,37
60651,7,37
60651,8,37
60644,9,37
60651,9,37
60639,10,37
60644,11,37
60639,12,37
60651,12,37
60624,13,37
60651,13,37
60639,14,37
60651,14,37
60651,15,37
60639,16,37
60644,17,37
60651,17,37
60651,18,37
60651,19,37
60651,20,37
60651,21,37
60639,22,37
60651,22,37
60656,1,38
60634,2,38
60634,3,38
60634,4,38
60634,5,38
60634,6,38
60634,7,38
60634,8,38
60634,9,38
60634,10,38
60634,11,38
60634,12,38
60634,13,38
60634,14,38
60634,15,38
60634,16,38
60630,17,38
60634,17,38
60630,18,38
60634,18,38
60634,19,38
60630,20,38
60634,20,38
60634,21,38
60641,21,38
60634,22,38
60634,23,38
60630,24,38
60634,24,38
60641,25,38
60646,1,39
60646,2,39
60659,2,39
60641,3,39
60646,4,39
60630,5,39
60630,6,39
60630,7,39
60630,8,39
60630,9,39
60625,10,39
60630,11,39
60659,12,39
60630,13,39
60641,13,39
60646,14,39
60625,15,39
60630,15,39
60659,15,39
60630,16,39
60641,16,39
60646,17,39
60646,18,39
60625,19,39
60659,19,39
60630,20,39
60646,20,39
60641,21,39
60646,22,39
60646,23,39
60618,24,39
60641,24,39
60625,25,39
60630,25,39
60630,26,39
60641,26,39
60646,27,39
60659,27,39
60625,28,39
60630,29,39
60630,30,39
60646,30,39
60646,31,39
60625,32,39
60630,32,39
60646,32,39
60646,33,39
60646,34,39
60625,35,39
60659,35,39
60645,1,40
60626,2,40
60645,2,40
60626,3,40
60660,3,40
