Jurisdiction,Zipcode,DistrictType,PRECINCT Name
City of Chicago,60621,PRECINCT,3
City of Chicago,60621,PRECINCT,4
City of Chicago,60621,PRECINCT,5
City of Chicago,60621,PRECINCT,7
City of Chicago,60621,PRECINCT,8
City of Chicago,60621,PRECINCT,9
City of Chicago,60622,PRECINCT,11
City of Chicago,60622,PRECINCT,12
City of Chicago,60622,PRECINCT,13
City of Chicago,60622,PRECINCT,14
City of Chicago,60622,PRECINCT,15
City of Chicago,60622,PRECINCT,16
City of Chicago,60622,PRECINCT,17
City of Chicago,60622,PRECINCT,18
City of Chicago,60622,PRECINCT,19
City of Chicago,60622,PRECINCT,20
City of Chicago,60622,PRECINCT,21
City of Chicago,60622,PRECINCT,22
City of Chicago,60622,PRECINCT,23
City of Chicago,60622,PRECINCT,24
City of Chicago,60622,PRECINCT,25
City of Chicago,60622,PRECINCT,26
City of Chicago,60622,PRECINCT,27
City of Chicago,60623,PRECINCT,1
City of Chicago,60623,PRECINCT,10
City of Chicago,60623,PRECINCT,11
City of Chicago,60623,PRECINCT,12
City of Chicago,60623,PRECINCT,13
City of Chicago,60623,PRECINCT,14
City of Chicago,60623,PRECINCT,15
City of Chicago,60623,PRECINCT,16
City of Chicago,60623,PRECINCT,17
City of Chicago,60623,PRECINCT,18
City of Chicago,60623,PRECINCT,19
City of Chicago,60623,PRECINCT,2
City of Chicago,60623,PRECINCT,20
City of Chicago,60623,PRECINCT,3
City of Chicago,60623,PRECINCT,4
City of Chicago,60623,PRECINCT,5
City of Chicago,60623,PRECINCT,6
City of Chicago,60623,PRECINCT,7
City of Chicago,60623,PRECINCT,8
City of Chicago,60623,PRECINCT,9
City of Chicago,60624,PRECINCT,10
City of Chicago,60624,PRECINCT,11
City of Chicago,60624,PRECINCT,13
City of Chicago,60624,PRECINCT,14
City of Chicago,60624,PRECINCT,17
City of Chicago,60624,PRECINCT,18
City of Chicago,60624,PRECINCT,19
City of Chicago,60624,PRECINCT,2
City of Chicago,60624,PRECINCT,20
City of Chicago,60624,PRECINCT,21
City of Chicago,60624,PRECINCT,22
City of Chicago,60624,PRECINCT,23
City of Chicago,60624,PRECINCT,3
City of Chicago,60624,PRECINCT,4
City of Chicago,60624,PRECINCT,5
City of Chicago,60624,PRECINCT,6
City of Chicago,60624,PRECINCT,7
City of Chicago,60624,PRECINCT,8
City of Chicago,60625,PRECINCT,1
City of Chicago,60625,PRECINCT,10
City of Chicago,60625,PRECINCT,11
City of Chicago,60625,PRECINCT,12
City of Chicago,60625,PRECINCT,13
City of Chicago,60625,PRECINCT,14
City of Chicago,60625,PRECINCT,15
City of Chicago,60625,PRECINCT,16
City of Chicago,60625,PRECINCT,17
City of Chicago,60625,PRECINCT,18
City of Chicago,60625,PRECINCT,19
City of Chicago,60625,PRECINCT,2
City of Chicago,60625,PRECINCT,20
City of Chicago,60625,PRECINCT,22
City of Chicago,60625,PRECINCT,23
City of Chicago,60625,PRECINCT,25
City of Chicago,60625,PRECINCT,28
City of Chicago,60625,PRECINCT,32
City of Chicago,60625,PRECINCT,35
City of Chicago,60625,PRECINCT,4
City of Chicago,60625,PRECINCT,6
City of Chicago,60625,PRECINCT,7
City of Chicago,60625,PRECINCT,8
City of Chicago,60625,PRECINCT,9
City of Chicago,60626,PRECINCT,1
City of Chicago,60626,PRECINCT,10
City of Chicago,60626,PRECINCT,13
City of Chicago,60626,PRECINCT,14
City of Chicago,60626,PRECINCT,15
City of Chicago,60626,PRECINCT,16
City of Chicago,60626,PRECINCT,17
City of Chicago,60626,PRECINCT,2
City of Chicago,60626,PRECINCT,3
City of Chicago,60626,PRECINCT,4
City of Chicago,60626,PRECINCT,5
City of Chicago,60626,PRECINCT,6
City of Chicago,60626,PRECINCT,7
City of Chicago,60626,PRECINCT,8
City of Chicago,60626,PRECINCT,9
City of Chicago,60628,PRECINCT,1
City of Chicago,60628,PRECINCT,10
City of Chicago,60628,PRECINCT,11
City of Chicago,60628,PRECINCT,12
City of Chicago,60628,PRECINCT,13
City of Chicago,60628,PRECINCT,14
City of Chicago,60628,PRECINCT,15
City of Chicago,60628,PRECINCT,16
City of Chicago,60628,PRECINCT,17
City of Chicago,60628,PRECINCT,18
City of Chicago,60628,PRECINCT,19
City of Chicago,60628,PRECINCT,2
City of Chicago,60628,PRECINCT,20
City of Chicago,60628,PRECINCT,21
City of Chicago,60628,PRECINCT,22
City of Chicago,60628,PRECINCT,23
City of Chicago,60628,PRECINCT,24
City of Chicago,60628,PRECINCT,25
City of Chicago,60628,PRECINCT,26
City of Chicago,60628,PRECINCT,27
City of Chicago,60628,PRECINCT,29
City of Chicago,60628,PRECINCT,30
City of Chicago,60628,PRECINCT,4
City of Chicago,60628,PRECINCT,5
City of Chicago,60628,PRECINCT,6
City of Chicago,60628,PRECINCT,7
City of Chicago,60628,PRECINCT,8
City of Chicago,60628,PRECINCT,9
City of Chicago,60629,PRECINCT,1
City of Chicago,60629,PRECINCT,10
