ward,precinct,zip
42.0,22.0,60654
42.0,27.0,60654
42.0,32.0,60654
42.0,25.0,60654
42.0,23.0,60654
42.0,20.0,60654
42.0,17.0,60654
42.0,5.0,60654
42.0,36.0,60654
42.0,37.0,60654
42.0,10.0,60654
42.0,38.0,60654
42.0,39.0,60654
2.0,40.0,60654
2.0,41.0,60654
2.0,45.0,60654
27.0,28.0,60654
27.0,11.0,60654
27.0,35.0,60654
27.0,21.0,60654
27.0,1.0,60654
27.0,48.0,60654
44.0,24.0,60614
44.0,7.0,60614
44.0,29.0,60614
44.0,40.0,60614
44.0,41.0,60614
44.0,18.0,60614
43.0,30.0,60614
43.0,26.0,60614
1.0,28.0,60614
2.0,9.0,60614
2.0,12.0,60614
2.0,20.0,60614
2.0,22.0,60614
2.0,24.0,60614
2.0,26.0,60614
2.0,31.0,60614
2.0,33.0,60614
2.0,37.0,60614
2.0,44.0,60614
2.0,46.0,60614
43.0,45.0,60614
43.0,46.0,60614
27.0,42.0,60614
27.0,12.0,60614
27.0,37.0,60614
27.0,35.0,60614
32.0,8.0,60614
32.0,13.0,60614
32.0,18.0,60614
32.0,24.0,60614
32.0,27.0,60614
32.0,39.0,60614
32.0,30.0,60614
32.0,31.0,60614
32.0,33.0,60614
32.0,34.0,60614
32.0,37.0,60614
43.0,11.0,60614
43.0,12.0,60614
43.0,13.0,60614
43.0,14.0,60614
43.0,15.0,60614
43.0,10.0,60614
43.0,1.0,60614
43.0,2.0,60614
43.0,3.0,60614
43.0,44.0,60614
43.0,4.0,60614
43.0,5.0,60614
43.0,6.0,60614
43.0,7.0,60614
43.0,8.0,60614
43.0,9.0,60614
43.0,16.0,60614
43.0,17.0,60614
43.0,18.0,60614
43.0,19.0,60614
43.0,20.0,60614
43.0,21.0,60614
43.0,22.0,60614
43.0,37.0,60614
43.0,23.0,60614
43.0,24.0,60614
43.0,25.0,60614
43.0,27.0,60614
43.0,29.0,60614
43.0,31.0,60614
43.0,32.0,60614
43.0,34.0,60614
43.0,36.0,60614
43.0,38.0,60614
43.0,39.0,60614
43.0,40.0,60614
43.0,41.0,60614
43.0,42.0,60614
50.0,30.0,60645
50.0,8.0,60645
50.0,1.0,60645
50.0,2.0,60645
50.0,4.0,60645
50.0,5.0,60645
50.0,7.0,60645
50.0,9.0,60645
50.0,10.0,60645
50.0,11.0,60645
50.0,12.0,60645
50.0,13.0,60645
50.0,14.0,60645
50.0,15.0,60645
50.0,16.0,60645
50.0,17.0,60645
50.0,6.0,60645
50.0,19.0,60645
50.0,20.0,60645
50.0,21.0,60645
50.0,26.0,60645
50.0,32.0,60645
50.0,29.0,60645
50.0,27.0,60645
50.0,28.0,60645
